name,class,ra,dec,file_path,filename,status,file_size_mb,shape,mean,std,min,max,rms,n_pixels,telescope,frequency,beam_maj,beam_min,units,peak_value,peak_location,background_rms,peak_snr
J1049+4619,WAT,162.482875,46.322333,./agn_cutouts/agn_J1049+4619_WAT_ra162.482875_dec46.322333.fits,agn_J1049+4619_WAT_ra162.482875_dec46.322333.fits,processed,0.11260986328125,"(120, 120)",0.016907009867746816,0.1471512639537317,-0.39224002516183426,2.1137432966554144,0.1481193487220657,14400,LOFAR,144000000,6.0,6.0,Jy/beam,2.1137432966554144,"(np.int64(65), np.int64(50))",0.08774805485863742,24.088776669302426
J1051+5041,WAT,162.995792,50.699944,./agn_cutouts/agn_J1051+5041_WAT_ra162.995792_dec50.699944.fits,agn_J1051+5041_WAT_ra162.995792_dec50.699944.fits,processed,0.11260986328125,"(120, 120)",0.016907009867746816,0.1471512639537317,-0.39224002516183426,2.1137432966554144,0.1481193487220657,14400,LOFAR,144000000,6.0,6.0,Jy/beam,2.1137432966554144,"(np.int64(65), np.int64(50))",0.08774805485863742,24.088776669302426
J1057+4749,WAT,164.362375,47.824278,./agn_cutouts/agn_J1057+4749_WAT_ra164.362375_dec47.824278.fits,agn_J1057+4749_WAT_ra164.362375_dec47.824278.fits,processed,0.11260986328125,"(120, 120)",0.016907009867746816,0.1471512639537317,-0.39224002516183426,2.1137432966554144,0.1481193487220657,14400,LOFAR,144000000,6.0,6.0,Jy/beam,2.1137432966554144,"(np.int64(65), np.int64(50))",0.08774805485863742,24.088776669302426
J1101+5603,WAT,165.285417,56.055722,./agn_cutouts/agn_J1101+5603_WAT_ra165.285417_dec56.055722.fits,agn_J1101+5603_WAT_ra165.285417_dec56.055722.fits,processed,1.2249755859375,"(400, 400)",2.31605532183652e-05,0.0002481195348637106,-0.0002788549683698795,0.008912619457461947,0.0002491981436655676,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.008912619457461947,"(np.int64(177), np.int64(261))",4.858126017076518e-05,183.45797178034726
J1105+4800,WAT,166.268625,48.012083,./agn_cutouts/agn_J1105+4800_WAT_ra166.268625_dec48.012083.fits,agn_J1105+4800_WAT_ra166.268625_dec48.012083.fits,processed,1.2249755859375,"(400, 400)",1.3886590985005373e-05,0.00016552227043179271,-0.00027447749466599845,0.009707640901637452,0.00016610376099920304,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.009707640901637452,"(np.int64(69), np.int64(50))",4.469768307268117e-05,217.1844318161242
J1112+5151,WAT,168.090292,51.857694,./agn_cutouts/agn_J1112+5151_WAT_ra168.090292_dec51.857694.fits,agn_J1112+5151_WAT_ra168.090292_dec51.857694.fits,processed,1.2249755859375,"(400, 400)",1.8169875537377412e-05,0.0002635745003283048,-0.00029899992282942414,0.01473826652456566,0.00026420004087879956,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.01473826652456566,"(np.int64(322), np.int64(194))",6.183714429616491e-05,238.34002511464158
J1113+4952,WAT,168.323333,49.866722,./agn_cutouts/agn_J1113+4952_WAT_ra168.323333_dec49.866722.fits,agn_J1113+4952_WAT_ra168.323333_dec49.866722.fits,processed,1.2249755859375,"(400, 400)",2.076148915324418e-05,0.00037196551435505034,-0.0002925051719226423,0.015366075992133904,0.0003725444715752435,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.015366075992133904,"(np.int64(200), np.int64(200))",5.7649876537951986e-05,266.5413512554208
J1114+4611,WAT,168.56875,46.187528,./agn_cutouts/agn_J1114+4611_WAT_ra168.56875_dec46.187528.fits,agn_J1114+4611_WAT_ra168.56875_dec46.187528.fits,processed,1.2249755859375,"(400, 400)",3.3613981837999776e-05,0.0003968964261787685,-0.0003743756443670378,0.013111449119336219,0.000398317301768934,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.013111449119336219,"(np.int64(199), np.int64(198))",6.700615783668967e-05,195.67528631162548
J1115+4729,WAT,168.882,47.491583,./agn_cutouts/agn_J1115+4729_WAT_ra168.882_dec47.491583.fits,agn_J1115+4729_WAT_ra168.882_dec47.491583.fits,processed,1.2249755859375,"(400, 400)",1.5021086294948335e-05,0.00021715626347156713,-0.00039444721845699547,0.01708143890376695,0.00021767516118843913,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.01708143890376695,"(np.int64(241), np.int64(386))",5.767564641828274e-05,296.1638050813812
J1115+4834,WAT,168.921625,48.572056,./agn_cutouts/agn_J1115+4834_WAT_ra168.921625_dec48.572056.fits,agn_J1115+4834_WAT_ra168.921625_dec48.572056.fits,processed,1.2249755859375,"(400, 400)",4.8512833391822545e-05,0.0005209777344126201,-0.0014324073416327142,0.05313700406239106,0.0005232315880730151,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.05313700406239106,"(np.int64(72), np.int64(0))",8.163116594619453e-05,650.9401580447252
J1120+5308,WAT,170.170333,53.135944,./agn_cutouts/agn_J1120+5308_WAT_ra170.170333_dec53.135944.fits,agn_J1120+5308_WAT_ra170.170333_dec53.135944.fits,processed,1.2249755859375,"(400, 400)",0.00013669156925077592,0.0028613854001528663,-0.002719304713750417,0.2666149048659213,0.0028646484938491534,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.2666149048659213,"(np.int64(78), np.int64(198))",0.00014336067374786401,1859.7492457020048
J1121+5421,WAT,170.307,54.359556,./agn_cutouts/agn_J1121+5421_WAT_ra170.307_dec54.359556.fits,agn_J1121+5421_WAT_ra170.307_dec54.359556.fits,processed,1.2249755859375,"(400, 400)",1.1528934233588323e-05,0.0001799857177321424,-0.0002245200163313811,0.013263608002372775,0.0001803545810677312,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.013263608002372775,"(np.int64(200), np.int64(202))",4.414340168951576e-05,300.4663776403742
J1124+5546,WAT,171.1045,55.770778,./agn_cutouts/agn_J1124+5546_WAT_ra171.1045_dec55.770778.fits,agn_J1124+5546_WAT_ra171.1045_dec55.770778.fits,processed,1.2249755859375,"(400, 400)",5.232552258906749e-06,8.263441734523962e-05,-0.00017108732311667084,0.0035478379656381943,8.279991867827786e-05,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.0035478379656381943,"(np.int64(192), np.int64(212))",3.8311385676085753e-05,92.60531570521556
J1127+5533,WAT,171.826667,55.558,./agn_cutouts/agn_J1127+5533_WAT_ra171.826667_dec55.558.fits,agn_J1127+5533_WAT_ra171.826667_dec55.558.fits,processed,1.2249755859375,"(400, 400)",9.45743859927244e-06,8.763121691707614e-05,-0.0002284911284390884,0.0038785985385233206,8.814007784899364e-05,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.0038785985385233206,"(np.int64(200), np.int64(201))",4.112828887974749e-05,94.3048846467627
J1147+4917,WAT,176.965417,49.292028,./agn_cutouts/agn_J1147+4917_WAT_ra176.965417_dec49.292028.fits,agn_J1147+4917_WAT_ra176.965417_dec49.292028.fits,processed,1.2249755859375,"(400, 400)",4.820848173598868e-06,9.912915065865059e-05,-0.0002293454136282978,0.0034365112126759473,9.924630515751374e-05,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.0034365112126759473,"(np.int64(188), np.int64(203))",4.273487950005927e-05,80.41466953641887
J1147+5548,WAT,176.815333,55.805389,./agn_cutouts/agn_J1147+5548_WAT_ra176.815333_dec55.805389.fits,agn_J1147+5548_WAT_ra176.815333_dec55.805389.fits,processed,1.2249755859375,"(400, 400)",2.1522960435226014e-05,0.0003173804210362428,-0.00024261285214244392,0.018053604123419283,0.0003181093671727367,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.018053604123419283,"(np.int64(98), np.int64(50))",5.026303221646202e-05,359.1825508192562
J1154+4949,WAT,178.553917,49.816944,./agn_cutouts/agn_J1154+4949_WAT_ra178.553917_dec49.816944.fits,agn_J1154+4949_WAT_ra178.553917_dec49.816944.fits,processed,1.2249755859375,"(400, 400)",6.369167418493728e-06,0.00014804365349160037,-0.0002390964686543426,0.008324927454076217,0.00014818059803073358,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.008324927454076217,"(np.int64(184), np.int64(199))",4.290167293498353e-05,194.04668593442608
J1208+5458,WAT,182.024708,54.968667,./agn_cutouts/agn_J1208+5458_WAT_ra182.024708_dec54.968667.fits,agn_J1208+5458_WAT_ra182.024708_dec54.968667.fits,processed,1.2249755859375,"(400, 400)",1.3878223843137324e-05,0.00016087162102269902,-0.00043767432531483544,0.008102421982815605,0.00016146914116174372,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.008102421982815605,"(np.int64(265), np.int64(76))",5.953195550905251e-05,136.10206339658268
J1220+5334,WAT,185.20925,53.575944,./agn_cutouts/agn_J1220+5334_WAT_ra185.20925_dec53.575944.fits,agn_J1220+5334_WAT_ra185.20925_dec53.575944.fits,processed,1.2249755859375,"(400, 400)",5.077088765497535e-05,0.0004523495405763584,-0.0004452009961245951,0.028017005500214565,0.00045518983939991096,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.028017005500214565,"(np.int64(39), np.int64(296))",5.224584652065973e-05,536.2532596564537
J1224+4905,WAT,186.052042,49.097722,./agn_cutouts/agn_J1224+4905_WAT_ra186.052042_dec49.097722.fits,agn_J1224+4905_WAT_ra186.052042_dec49.097722.fits,processed,1.2249755859375,"(400, 400)",2.913570031369372e-05,0.0002208049453689449,-0.0002503309556102894,0.008269432073970177,0.0002227189101359651,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.008269432073970177,"(np.int64(175), np.int64(65))",4.67684881616709e-05,176.81632225065997
J1224+5419,WAT,186.207875,54.326167,./agn_cutouts/agn_J1224+5419_WAT_ra186.207875_dec54.326167.fits,agn_J1224+5419_WAT_ra186.207875_dec54.326167.fits,processed,1.2249755859375,"(400, 400)",3.150030887721358e-05,0.00032945763120924504,-0.00026506342975010725,0.02201693591050866,0.00033096011877772636,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.02201693591050866,"(np.int64(118), np.int64(355))",4.532374019299113e-05,485.77049945038215
J1236+5525,WAT,189.197625,55.419611,./agn_cutouts/agn_J1236+5525_WAT_ra189.197625_dec55.419611.fits,agn_J1236+5525_WAT_ra189.197625_dec55.419611.fits,processed,1.2249755859375,"(400, 400)",3.789069651969322e-05,0.0006648740178629274,-0.00026246289988795,0.0491156947630447,0.000665952824539351,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.0491156947630447,"(np.int64(164), np.int64(155))",4.503040267730145e-05,1090.7229747648366
J1238+4838,WAT,189.74275,48.638472,./agn_cutouts/agn_J1238+4838_WAT_ra189.74275_dec48.638472.fits,agn_J1238+4838_WAT_ra189.74275_dec48.638472.fits,processed,1.2249755859375,"(400, 400)",7.615556640407222e-05,0.0035346047948420726,-0.0037890181371529057,0.41081740717699206,0.0035354251124885805,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.41081740717699206,"(np.int64(22), np.int64(120))",0.0001283098839717356,3201.7596342576994
J1247+4852,WAT,191.927208,48.868306,./agn_cutouts/agn_J1247+4852_WAT_ra191.927208_dec48.868306.fits,agn_J1247+4852_WAT_ra191.927208_dec48.868306.fits,processed,1.2249755859375,"(400, 400)",3.2507145285767824e-05,0.0003870780796176489,-0.00026286272683775767,0.02418273889437663,0.00038844067013524345,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.02418273889437663,"(np.int64(197), np.int64(198))",4.7637912544692586e-05,507.63640979627405
J1249+4954,WAT,192.413458,49.900861,./agn_cutouts/agn_J1249+4954_WAT_ra192.413458_dec49.900861.fits,agn_J1249+4954_WAT_ra192.413458_dec49.900861.fits,processed,1.2249755859375,"(400, 400)",3.79754770044499e-05,0.0004717904483654574,-0.00033404209131777495,0.03836312957389612,0.00047331634666742165,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.03836312957389612,"(np.int64(72), np.int64(145))",4.96334395194128e-05,772.9290967008524
J1303+4743,WAT,195.952125,47.7215,./agn_cutouts/agn_J1303+4743_WAT_ra195.952125_dec47.7215.fits,agn_J1303+4743_WAT_ra195.952125_dec47.7215.fits,processed,1.2249755859375,"(400, 400)",2.1463196289298425e-05,0.0003532149532067924,-0.00035223582078912623,0.01710822685042311,0.0003538664606371018,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.01710822685042311,"(np.int64(169), np.int64(219))",5.182065221541086e-05,330.14302443177905
J1303+4935,WAT,195.865417,49.599028,./agn_cutouts/agn_J1303+4935_WAT_ra195.865417_dec49.599028.fits,agn_J1303+4935_WAT_ra195.865417_dec49.599028.fits,processed,1.2249755859375,"(400, 400)",5.3146524058671285e-05,0.000512056190327045,-0.00039624531000568837,0.029575158294262084,0.000514806852199702,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.029575158294262084,"(np.int64(145), np.int64(42))",5.002746985321422e-05,591.1783742219758
J1303+5220,WAT,195.885333,52.336194,./agn_cutouts/agn_J1303+5220_WAT_ra195.885333_dec52.336194.fits,agn_J1303+5220_WAT_ra195.885333_dec52.336194.fits,processed,1.2249755859375,"(400, 400)",2.8041648273806596e-05,0.0003462247581722642,-0.0002665490024672251,0.020591072033405065,0.00034735848515525666,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.020591072033405065,"(np.int64(394), np.int64(151))",5.139658718769258e-05,400.63111502344657
J1306+5144,WAT,196.545083,51.739611,./agn_cutouts/agn_J1306+5144_WAT_ra196.545083_dec51.739611.fits,agn_J1306+5144_WAT_ra196.545083_dec51.739611.fits,processed,1.2249755859375,"(400, 400)",0.00015941830118844846,0.002634091478338551,-0.000892514111018738,0.16172886528554176,0.0026389111601207013,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.16172886528554176,"(np.int64(264), np.int64(300))",6.62450431820156e-05,2441.3730826799188
J1315+4841,WAT,198.882583,48.686583,./agn_cutouts/agn_J1315+4841_WAT_ra198.882583_dec48.686583.fits,agn_J1315+4841_WAT_ra198.882583_dec48.686583.fits,processed,1.2249755859375,"(400, 400)",8.33976408388668e-05,0.0011932115607953694,-0.0003955170796913921,0.06995645182114466,0.0011961224834076193,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.06995645182114466,"(np.int64(201), np.int64(201))",4.6132351233214555e-05,1516.4293592470772
J1325+5617,WAT,201.26825,56.295083,./agn_cutouts/agn_J1325+5617_WAT_ra201.26825_dec56.295083.fits,agn_J1325+5617_WAT_ra201.26825_dec56.295083.fits,processed,1.2249755859375,"(400, 400)",2.355680226796758e-05,0.00018635146968678213,-0.00021462686964256533,0.01302925184934815,0.0001878344834888307,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.01302925184934815,"(np.int64(222), np.int64(41))",4.7659159692785544e-05,273.3840028514071
J1330+4730,WAT,202.636125,47.515444,./agn_cutouts/agn_J1330+4730_WAT_ra202.636125_dec47.515444.fits,agn_J1330+4730_WAT_ra202.636125_dec47.515444.fits,processed,1.2249755859375,"(400, 400)",1.899841462873675e-05,0.00031377997551014167,-0.00023801449902469886,0.027466526761158166,0.0003143545972139591,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.027466526761158166,"(np.int64(199), np.int64(201))",4.460420745529745e-05,615.7833157036868
J1344+5552,WAT,206.18575,55.867583,./agn_cutouts/agn_J1344+5552_WAT_ra206.18575_dec55.867583.fits,agn_J1344+5552_WAT_ra206.18575_dec55.867583.fits,processed,1.2249755859375,"(400, 400)",7.008793261254323e-05,0.0020879459617848886,-0.0005204711700707638,0.22668500706991992,0.002089121982468167,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.22668500706991992,"(np.int64(247), np.int64(215))",6.0100536601816154e-05,3771.7634465025694
J1346+5250,WAT,206.528833,52.838222,./agn_cutouts/agn_J1346+5250_WAT_ra206.528833_dec52.838222.fits,agn_J1346+5250_WAT_ra206.528833_dec52.838222.fits,processed,1.2249755859375,"(400, 400)",3.439029469014473e-05,0.00027991605108009237,-0.0002560201227178712,0.017449200655668774,0.0002820207226803518,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.017449200655668774,"(np.int64(327), np.int64(167))",5.346619695440777e-05,326.35948785637834
J1351+5216,WAT,207.961792,52.274917,./agn_cutouts/agn_J1351+5216_WAT_ra207.961792_dec52.274917.fits,agn_J1351+5216_WAT_ra207.961792_dec52.274917.fits,processed,1.2249755859375,"(400, 400)",7.3692928197489256e-06,0.00018132799264177274,-0.00023399981259968907,0.016409848578312573,0.0001814776773935516,160000,LOFAR,Unknown,0.001666666666666667,0.001666666666666667,JY/BEAM,0.016409848578312573,"(np.int64(219), np.int64(211))",5.044319763169263e-05,325.31340891844127
