name,ra,dec,true_class,predicted_class,confidence,prob_wat,prob_nat,correct,high_confidence
J1049+4619,162.482875,46.322333,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1051+5041,162.995792,50.699944,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1057+4749,164.362375,47.824278,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1101+5603,165.285417,56.055722,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1105+4800,166.268625,48.012083,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1112+5151,168.090292,51.857694,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1113+4952,168.323333,49.866722,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1114+4611,168.56875,46.187528,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1115+4729,168.882,47.491583,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1115+4834,168.921625,48.572056,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1120+5308,170.170333,53.135944,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1121+5421,170.307,54.359556,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1124+5546,171.1045,55.770778,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1127+5533,171.826667,55.558,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1147+4917,176.965417,49.292028,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1147+5548,176.815333,55.805389,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1154+4949,178.553917,49.816944,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
J1208+5458,182.024708,54.968667,WAT,WAT,0.9999991655349731,0.9999991655349731,8.677484402141999e-07,True,True
