logL,logRho
24.00202224469161,-3.8341772151898734
24.00808897876643,-3.8430379746835444
24.014155712841255,-3.8430379746835444
24.020222446916076,-3.8341772151898734
24.0262891809909,-3.8341772151898734
24.03235591506572,-3.8430379746835444
24.038422649140546,-3.8430379746835444
24.04448938321537,-3.8430379746835444
24.050556117290192,-3.8518987341772153
24.056622851365017,-3.8341772151898734
24.062689585439838,-3.8253164556962025
24.068756319514662,-3.8164556962025316
24.074823053589483,-3.8253164556962025
24.080889787664308,-3.8253164556962025
24.08695652173913,-3.8518987341772153
24.093023255813954,-3.8696202531645567
24.099089989888775,-3.8873417721518986
24.1051567239636,-3.8873417721518986
24.111223458038424,-3.8873417721518986
24.117290192113245,-3.8962025316455695
24.12335692618807,-3.8962025316455695
24.12942366026289,-3.8962025316455695
24.135490394337715,-3.8962025316455695
24.141557128412536,-3.8873417721518986
24.14762386248736,-3.8962025316455695
24.153690596562186,-3.8962025316455695
24.159757330637007,-3.8962025316455695
24.16582406471183,-3.9139240506329114
24.171890798786652,-3.9050632911392404
24.177957532861477,-3.9050632911392404
24.184024266936298,-3.8962025316455695
24.190091001011123,-3.9050632911392404
24.196157735085947,-3.9050632911392404
24.202224469160768,-3.9050632911392404
24.208291203235593,-3.8962025316455695
24.214357937310414,-3.8962025316455695
24.22042467138524,-3.8962025316455695
24.22649140546006,-3.8962025316455695
24.232558139534884,-3.8962025316455695
24.23862487360971,-3.9050632911392404
24.24469160768453,-3.9139240506329114
24.25075834175935,-3.9316455696202532
24.256825075834175,-3.9316455696202532
24.262891809909,-3.9405063291139237
24.26895854398382,-3.9405063291139237
24.275025278058646,-3.9493670886075947
24.281092012133467,-3.9493670886075947
24.28715874620829,-3.9670886075949365
24.293225480283112,-3.9759493670886075
24.299292214357937,-3.9848101265822784
24.30535894843276,-3.9848101265822784
24.311425682507583,-3.9936708860759493
24.317492416582407,-3.9848101265822784
24.32355915065723,-3.9848101265822784
24.329625884732053,-3.9848101265822784
24.335692618806874,-3.9759493670886075
24.3417593528817,-3.9759493670886075
24.347826086956523,-3.9848101265822784
24.353892821031344,-3.9848101265822784
24.35995955510617,-3.9759493670886075
24.36602628918099,-3.9670886075949365
24.372093023255815,-3.9582278481012656
24.378159757330636,-3.9670886075949365
24.38422649140546,-3.9670886075949365
24.390293225480285,-3.9848101265822784
24.396359959555106,-3.9936708860759493
24.40242669362993,-4.011392405063291
24.40849342770475,-4.011392405063291
24.414560161779576,-4.020253164556962
24.420626895854397,-4.020253164556962
24.426693629929222,-4.020253164556962
24.432760364004046,-4.029113924050633
24.438827098078868,-4.029113924050633
24.44489383215369,-4.037974683544304
24.450960566228513,-4.037974683544304
24.457027300303338,-4.037974683544304
24.46309403437816,-4.046835443037975
24.469160768452983,-4.046835443037975
24.475227502527805,-4.046835443037975
24.48129423660263,-4.055696202531646
24.48736097067745,-4.064556962025317
24.493427704752275,-4.064556962025317
24.4994944388271,-4.064556962025317
24.50556117290192,-4.064556962025317
24.511627906976745,-4.082278481012658
24.517694641051566,-4.073417721518988
24.52376137512639,-4.055696202531646
24.529828109201212,-4.055696202531646
24.535894843276036,-4.055696202531646
24.54196157735086,-4.055696202531646
24.548028311425682,-4.055696202531646
24.554095045500507,-4.073417721518988
24.560161779575328,-4.1
24.566228513650152,-4.1088607594936715
24.572295247724973,-4.1088607594936715
24.578361981799798,-4.1088607594936715
24.584428715874623,-4.1177215189873415
24.590495449949444,-4.1177215189873415
24.59656218402427,-4.1177215189873415
24.60262891809909,-4.126582278481013
24.608695652173914,-4.126582278481013
24.614762386248735,-4.135443037974683
24.62082912032356,-4.135443037974683
24.62689585439838,-4.144303797468355
24.632962588473205,-4.144303797468355
24.63902932254803,-4.144303797468355
24.64509605662285,-4.153164556962025
24.651162790697676,-4.153164556962025
24.657229524772497,-4.162025316455696
24.66329625884732,-4.162025316455696
24.669362992922142,-4.179746835443038
24.675429726996967,-4.188607594936709
24.681496461071788,-4.206329113924051
24.687563195146613,-4.206329113924051
24.693629929221437,-4.206329113924051
24.69969666329626,-4.206329113924051
24.705763397371083,-4.206329113924051
24.711830131445904,-4.19746835443038
24.71789686552073,-4.19746835443038
24.72396359959555,-4.206329113924051
24.730030333670374,-4.206329113924051
24.7360970677452,-4.215189873417722
24.74216380182002,-4.215189873417722
24.748230535894844,-4.215189873417722
24.754297269969666,-4.224050632911393
24.76036400404449,-4.224050632911393
24.76643073811931,-4.224050632911393
24.772497472194136,-4.232911392405063
24.77856420626896,-4.232911392405063
24.78463094034378,-4.241772151898735
24.790697674418606,-4.241772151898735
24.796764408493427,-4.250632911392405
24.80283114256825,-4.250632911392405
24.808897876643073,-4.259493670886076
24.814964610717897,-4.259493670886076
24.82103134479272,-4.259493670886076
24.827098078867543,-4.472151898734177
24.833164812942364,-4.489873417721519
24.83923154701719,-4.977215189873418
24.845298281092013,-4.977215189873418
24.851365015166834,-4.977215189873418
24.85743174924166,-4.977215189873418
24.86349848331648,-4.472151898734177
24.869565217391305,-4.30379746835443
24.875631951466126,-4.30379746835443
24.88169868554095,-4.30379746835443
24.887765419615775,-4.30379746835443
24.893832153690596,-4.312658227848101
24.89989888776542,-4.312658227848101
24.90596562184024,-4.321518987341772
24.912032355915066,-4.321518987341772
24.918099089989887,-4.330379746835443
24.924165824064712,-4.330379746835443
24.930232558139537,-4.330379746835443
24.936299292214358,-4.339240506329114
24.942366026289182,-4.339240506329114
24.948432760364003,-4.339240506329114
24.954499494438828,-4.348101265822785
24.96056622851365,-4.356962025316456
24.966632962588474,-4.356962025316456
24.972699696663298,-4.356962025316456
24.97876643073812,-4.339240506329114
24.98483316481294,-4.339240506329114
24.990899898887765,-4.339240506329114
24.99696663296259,-4.330379746835443
25.00303336703741,-4.330379746835443
25.009100101112235,-4.330379746835443
25.01516683518706,-4.330379746835443
25.136501516683516,-4.507594936708861
25.14256825075834,-4.507594936708861
25.148634984833166,-4.507594936708861
25.154701718907987,-4.507594936708861
25.16076845298281,-4.507594936708861
25.166835187057636,-4.516455696202531
25.172901921132457,-4.516455696202531
25.288169868554096,-4.622784810126582
25.294236602628917,-4.631645569620253
25.30030333670374,-4.631645569620253
25.306370070778563,-4.631645569620253
25.312436804853387,-4.631645569620253
25.318503538928212,-4.631645569620253
25.324570273003033,-4.631645569620253
25.330637007077858,-4.631645569620253
25.506572295247725,-4.782278481012659
25.51263902932255,-4.782278481012659
25.51870576339737,-4.782278481012659
25.524772497472195,-4.791139240506329
25.530839231547017,-4.808860759493671
25.53690596562184,-5.039240506329113
25.542972699696662,-5.039240506329113
25.597573306370073,-4.888607594936708
25.603640040444894,-4.879746835443038
25.609706774519715,-4.879746835443038
25.61577350859454,-4.879746835443038
25.621840242669364,-4.888607594936708
25.627906976744185,-4.89746835443038
25.63397371081901,-5.1367088607594935
25.64004044489383,-4.888607594936708
25.646107178968656,-4.888607594936708
25.652173913043477,-4.888607594936708
25.6582406471183,-4.888607594936708
25.664307381193126,-4.89746835443038
25.670374115267947,-4.90632911392405
25.67644084934277,-4.90632911392405
25.682507583417593,-4.915189873417722
25.688574317492417,-5.181012658227848
25.69464105156724,-5.455696202531646
25.700707785642063,-5.455696202531646
25.706774519716888,-5.19873417721519
25.71284125379171,-5.455696202531646
25.71890798786653,-5.446835443037974
25.724974721941354,-5.464556962025316
25.73104145601618,-5.464556962025316
25.737108190091,-5.455696202531646
25.743174924165825,-5.446835443037974
25.74924165824065,-5.446835443037974
25.75530839231547,-4.959493670886076
25.761375126390295,-4.959493670886076
25.767441860465116,-4.959493670886076
25.77350859453994,-4.959493670886076
25.77957532861476,-4.959493670886076
25.785642062689586,-4.977215189873418
25.791708796764407,-5.5620253164556965
25.797775530839232,-5.5708860759493675
25.803842264914053,-5.553164556962026
25.809908998988877,-5.5620253164556965
25.815975733063702,-5.5620253164556965
25.822042467138523,-5.5708860759493675
25.828109201213348,-5.5797468354430375
25.83417593528817,-5.5797468354430375
25.840242669362993,-5.5886075949367084
