name,class,n_sources,n_gaussians,peak_flux_jy,rms_noise_jy,dynamic_range,mean_flux,std_flux,min_flux,max_flux,status
J1220+5334,WAT,33,43,0.028017005500214565,0.0004523495405763584,61.936628618030355,5.077088765497535e-05,0.0004523495405763584,-0.0004452009961245951,0.028017005500214565,success
J1459+5334,WAT,14,17,0.09082478241470704,0.0008919554014700156,101.82659611121852,6.55932809396008e-05,0.0008919554014700156,-0.0015250978907158173,0.09082478241470704,success
J1120+5308,WAT,27,43,0.2666149048659213,0.0028613854001528663,93.1768593114642,0.00013669156925077592,0.0028613854001528663,-0.002719304713750417,0.2666149048659213,success
J1434+4951,WAT,42,72,0.013392797356633412,0.0003872541697779465,34.58399780256184,6.0546504298890244e-05,0.0003872541697779465,-0.00036889852630262436,0.013392797356633412,success
J1147+5548,WAT,35,53,0.018053604123419283,0.0003173804210362428,56.8831689884162,2.1522960435226014e-05,0.0003173804210362428,-0.00024261285214244392,0.018053604123419283,success
J1347+5022,NAT,28,42,0.08531268910617593,0.0007936122654381092,107.49920688168741,3.263569345158985e-05,0.0007936122654381092,-0.0009221791043363114,0.08531268910617593,success
J1224+4905,WAT,32,42,0.008269432073970177,0.0002208049453689449,37.45129920053517,2.913570031369372e-05,0.0002208049453689449,-0.0002503309556102894,0.008269432073970177,success
J1523+5255,WAT,21,28,0.01650438083570686,0.0004483673122236767,36.80995555597802,2.7913440003887663e-05,0.0004483673122236767,-0.0004042634399861798,0.01650438083570686,success
J1359+4905,WAT,45,51,0.00917274050962866,0.00020274003720059078,45.243853341869325,2.6725337439723634e-05,0.00020274003720059078,-0.0002183190955719425,0.00917274050962866,success
J1306+5144,WAT,23,62,0.16172886528554176,0.002634091478338551,61.39834801316467,0.00015941830118844846,0.002634091478338551,-0.000892514111018738,0.16172886528554176,success
J1132+5459,NAT,49,58,0.005048282283631909,9.741180388177477e-05,51.824133035857024,5.877716858520154e-06,9.741180388177477e-05,-0.00025604984721803694,0.005048282283631909,success
J1238+4838,WAT,19,28,0.41081740717699206,0.0035346047948420726,116.22725340510029,7.615556640407222e-05,0.0035346047948420726,-0.0037890181371529057,0.41081740717699206,success
J1208+5458,WAT,41,48,0.008102421982815605,0.00016087162102269902,50.365763279480795,1.3878223843137324e-05,0.00016087162102269902,-0.00043767432531483544,0.008102421982815605,success
J1431+4743,WAT,20,30,0.05612000262364929,0.0006183889132519633,90.75195466963866,3.890724697744281e-05,0.0006183889132519633,-0.0006289145132958047,0.05612000262364929,success
J1431+5518,NAT,22,38,0.06809575106034804,0.0015590278057957942,43.67834287958006,7.135535959960588e-05,0.0015590278057957942,-0.0007439036505551571,0.06809575106034804,success
J1127+5533,WAT,47,57,0.0038785985385233206,8.763121691707614e-05,44.260466475018475,9.45743859927244e-06,8.763121691707614e-05,-0.0002284911284390884,0.0038785985385233206,success
J1147+4805,NAT,32,54,0.05065313670321092,0.0006369025079073758,79.53044001920834,3.7179707796384366e-05,0.0006369025079073758,-0.000848451485058897,0.05065313670321092,success
J1505+4706,NAT,20,52,0.12730080085150455,0.001792695866155114,71.01081854142558,0.00015052860640728512,0.001792695866155114,-0.001524670264277653,0.12730080085150455,success
J1121+5421,WAT,50,66,0.013263608002372775,0.0001799857177321424,73.69255832905523,1.1528934233588323e-05,0.0001799857177321424,-0.0002245200163313811,0.013263608002372775,success
J1057+4749,WAT,4,26,2.1137432966554144,0.1471512639537317,14.364425013162183,0.016907009867746816,0.1471512639537317,-0.39224002516183426,2.1137432966554144,success
