name,class,ra,dec,size,status,file_path,error
J1132+5459,NAT,173.00825,54.99775,0.03,mock_created,agn_cutouts/agn_J1132+5459_NAT_ra173.008250_dec54.997750.fits,
J1147+4805,NAT,176.951792,48.097,0.03,mock_created,agn_cutouts/agn_J1147+4805_NAT_ra176.951792_dec48.097000.fits,
J1207+4805,NAT,181.831,48.099639,0.03,mock_created,agn_cutouts/agn_J1207+4805_NAT_ra181.831000_dec48.099639.fits,
J1325+5544,NAT,201.45175,55.737417,0.03,mock_created,agn_cutouts/agn_J1325+5544_NAT_ra201.451750_dec55.737417.fits,
J1329+5246,NAT,202.289625,52.771083,0.03,mock_created,agn_cutouts/agn_J1329+5246_NAT_ra202.289625_dec52.771083.fits,
J1347+5022,NAT,206.754292,50.371639,0.03,mock_created,agn_cutouts/agn_J1347+5022_NAT_ra206.754292_dec50.371639.fits,
J1431+5518,NAT,217.818042,55.313861,0.03,mock_created,agn_cutouts/agn_J1431+5518_NAT_ra217.818042_dec55.313861.fits,
J1505+4706,NAT,226.410292,47.106222,0.03,mock_created,agn_cutouts/agn_J1505+4706_NAT_ra226.410292_dec47.106222.fits,
J1506+5311,NAT,226.512917,53.185917,0.03,mock_created,agn_cutouts/agn_J1506+5311_NAT_ra226.512917_dec53.185917.fits,
J1510+5146,NAT,227.5145,51.774472,0.03,mock_created,agn_cutouts/agn_J1510+5146_NAT_ra227.514500_dec51.774472.fits,
