logL,logRho
24.255707762557076,-3.4793261868300154
24.264840182648403,-3.490045941807044
24.273972602739725,-3.490045941807044
24.28310502283105,-3.490045941807044
24.292237442922374,-3.490045941807044
24.301369863013697,-3.5007656967840735
24.557077625570777,-3.7258805513016844
24.5662100456621,-3.7258805513016844
24.575342465753423,-3.7366003062787136
24.58447488584475,-3.7366003062787136
24.59360730593607,-3.7366003062787136
24.8675799086758,-4.004594180704441
24.876712328767123,-4.004594180704441
24.885844748858446,-4.01531393568147
24.894977168949772,-4.01531393568147
24.904109589041095,-4.01531393568147
25.187214611872147,-4.36906584992343
25.19634703196347,-4.36906584992343
25.205479452054796,-4.36906584992343
25.21461187214612,-4.36906584992343
25.22374429223744,-4.36906584992343
25.488584474885844,-4.701378254211332
25.49771689497717,-4.690658499234303
25.506849315068493,-4.690658499234303
25.51598173515982,-4.690658499234303
25.525114155251142,-4.690658499234303
25.799086757990867,-5.065849923430322
25.80821917808219,-5.065849923430322
25.817351598173516,-5.065849923430322
25.82648401826484,-5.065849923430322
